SQL> select last_name , hire_date, to_char(hire_date, 'day')
  2  from employees
  3  order by to_char(hire_date-1,'d');

LAST_NAME                 HIRE_DATE TO_CHAR(H                                   
------------------------- --------- ---------                                   
Ladwig                    14-JUL-03 monday                                      
Cambrault                 15-OCT-07 monday                                      
Mallin                    14-JUN-04 monday                                      
Ernst                     21-MAY-07 monday                                      
Greene                    19-MAR-07 monday                                      
Banda                     21-APR-08 monday                                      
Walsh                     24-APR-06 monday                                      
Ande                      24-MAR-08 monday                                      
Vollman                   10-OCT-05 monday                                      
Kumar                     21-APR-08 monday                                      
Olson                     10-APR-07 tuesday                                     

LAST_NAME                 HIRE_DATE TO_CHAR(H                                   
------------------------- --------- ---------                                   
Urman                     07-MAR-06 tuesday                                     
Hunold                    03-JAN-06 tuesday                                     
King                      17-JUN-03 tuesday                                     
Hartstein                 17-FEB-04 tuesday                                     
Feeney                    23-MAY-06 tuesday                                     
Gates                     11-JUL-06 tuesday                                     
Chung                     14-JUN-05 tuesday                                     
Sarchand                  27-JAN-04 tuesday                                     
Taylor                    24-JAN-06 tuesday                                     
Abel                      11-MAY-04 tuesday                                     
Fox                       24-JAN-06 tuesday                                     

LAST_NAME                 HIRE_DATE TO_CHAR(H                                   
------------------------- --------- ---------                                   
Zlotkey                   29-JAN-08 tuesday                                     
Whalen                    17-SEP-03 wednesday                                   
Philtanker                06-FEB-08 wednesday                                   
Perkins                   19-DEC-07 wednesday                                   
Bell                      04-FEB-04 wednesday                                   
Kochhar                   21-SEP-05 wednesday                                   
Cabrio                    07-FEB-07 wednesday                                   
Chen                      28-SEP-05 wednesday                                   
Himuro                    15-NOV-06 wednesday                                   
Marlow                    16-FEB-05 wednesday                                   
Fay                       17-AUG-05 wednesday                                   

LAST_NAME                 HIRE_DATE TO_CHAR(H                                   
------------------------- --------- ---------                                   
Gee                       12-DEC-07 wednesday                                   
Partners                  05-JAN-05 wednesday                                   
Matos                     15-MAR-06 wednesday                                   
Stiles                    26-OCT-05 wednesday                                   
Lorentz                   07-FEB-07 wednesday                                   
Kaufling                  01-MAY-03 thursday                                    
Mikkilineni               28-SEP-06 thursday                                    
Patel                     06-APR-06 thursday                                    
Errazuriz                 10-MAR-05 thursday                                    
Bernstein                 24-MAR-05 thursday                                    
Olsen                     30-MAR-06 thursday                                    

LAST_NAME                 HIRE_DATE TO_CHAR(H                                   
------------------------- --------- ---------                                   
Sully                     04-MAR-04 thursday                                    
Smith                     10-MAR-05 thursday                                    
Doran                     15-DEC-05 thursday                                    
Marvins                   24-JAN-08 thursday                                    
Bloom                     23-MAR-06 thursday                                    
Grant                     24-MAY-07 thursday                                    
Fleaur                    23-FEB-06 thursday                                    
Sullivan                  21-JUN-07 thursday                                    
Everett                   03-MAR-05 thursday                                    
OConnell                  21-JUN-07 thursday                                    
Tuvault                   23-NOV-07 friday                                      

LAST_NAME                 HIRE_DATE TO_CHAR(H                                   
------------------------- --------- ---------                                   
Popp                      07-DEC-07 friday                                      
Gietz                     07-JUN-02 friday                                      
King                      30-JAN-04 friday                                      
Russell                   01-OCT-04 friday                                      
Sewall                    03-NOV-06 friday                                      
Baer                      07-JUN-02 friday                                      
Rajs                      17-OCT-03 friday                                      
Vishney                   11-NOV-05 friday                                      
Higgins                   07-JUN-02 friday                                      
Ozer                      11-MAR-05 friday                                      
Colmenares                10-AUG-07 friday                                      

LAST_NAME                 HIRE_DATE TO_CHAR(H                                   
------------------------- --------- ---------                                   
Johnson                   04-JAN-08 friday                                      
Taylor                    24-MAR-06 friday                                      
Mourgos                   16-NOV-07 friday                                      
Faviet                    16-AUG-02 friday                                      
Smith                     23-FEB-07 friday                                      
Sciarra                   30-SEP-05 friday                                      
Mavris                    07-JUN-02 friday                                      
Cambrault                 09-DEC-06 saturday                                    
Hall                      20-AUG-05 saturday                                    
Davies                    29-JAN-05 saturday                                    
Rogers                    26-AUG-06 saturday                                    

LAST_NAME                 HIRE_DATE TO_CHAR(H                                   
------------------------- --------- ---------                                   
Bissot                    20-AUG-05 saturday                                    
Markle                    08-MAR-08 saturday                                    
Nayer                     16-JUL-05 saturday                                    
Baida                     24-DEC-05 saturday                                    
Raphaely                  07-DEC-02 saturday                                    
Greenberg                 17-AUG-02 saturday                                    
De Haan                   13-JAN-01 saturday                                    
Austin                    25-JUN-05 saturday                                    
Jones                     17-MAR-07 saturday                                    
McCain                    01-JUL-06 saturday                                    
Dilly                     13-AUG-05 saturday                                    

